,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,Hambantota,6.1241,81.1185,299.46,82,74,8.6,LK,1628123431
340,Ayní,39.3941,68.5377,292.47,59,14,1.49,TJ,1628123349
341,Rocha,-34.4833,-54.3333,288.17,74,83,2.6,UY,1628072881
342,Bagrāmī,34.4938,69.2743,298.14,18,20,4.63,AF,1628123770
343,Belaya Glina,46.07,40.86,294.39,80,46,2.07,RU,1628042536
344,Ballina,-28.8667,153.5667,282.13,66,0,4.63,AU,1628108797
345,Skellefteå,64.7507,20.9528,289.35,53,99,2.06,SE,1628041627
346,Prainha,-1.8,-53.48,306.25,42,28,1.04,BR,1628069923
347,Sirohi,24.8833,72.8667,299.33,80,86,6.66,IN,1628123886
348,Mareeba,-17.0,145.4333,290.55,69,12,1.32,AU,1628109727
349,Baraya,3.1533,-75.0531,303.78,39,35,2.01,CO,1628074733
350,Kachug,53.9606,105.8817,286.0,86,5,1.18,RU,1628111794
351,Kentau,43.5206,68.5094,301.5,26,3,11.74,KZ,1628122774
352,Ndjolé,-0.1783,10.7649,299.88,68,44,2.77,GA,1628054385
353,Mombetsu,44.3525,143.3525,294.09,95,42,2.46,JP,1628104669
